Time(s),PosX,PosY,PosZ,VelX,VelY,VelZ,AccX,AccY,AccZ,QuatX,QuatY,QuatZ,QuatW
0,0.0,0.0,0.0,0.003,0.022,0.052,0.26,2.174,5.193,0.0,-0.0003,0.0,1.0
0.01,0.0,0.0,0.001,0.005,0.043,0.104,0.251,2.152,5.217,0.0,-0.0008,-0.0,1.0
0.02,0.0,0.001,0.002,0.007,0.065,0.156,0.236,2.134,5.24,-0.0,-0.0016,-0.0,1.0
0.03,0.0,0.001,0.003,0.01,0.086,0.209,0.212,2.118,5.263,-0.0,-0.0026,-0.0,1.0
0.04,0.0,0.002,0.005,0.011,0.107,0.262,0.181,2.106,5.286,-0.0,-0.0039,-0.0,1.0
0.05,0.0,0.003,0.008,0.013,0.128,0.315,0.143,2.098,5.309,-0.0,-0.0055,-0.0,1.0
0.06,0.0,0.005,0.011,0.014,0.149,0.368,0.096,2.093,5.332,-0.0,-0.0073,-0.0,1.0
0.07,0.001,0.006,0.015,0.014,0.17,0.422,0.042,2.092,5.355,-0.0,-0.0094,-0.0,1.0
0.08,0.001,0.008,0.019,0.014,0.191,0.476,-0.02,2.095,5.377,-0.0,-0.0117,-0.0001,0.9999
0.09,0.001,0.01,0.024,0.013,0.212,0.53,-0.09,2.101,5.399,-0.0,-0.0143,-0.0001,0.9999
0.1,0.001,0.012,0.029,0.011,0.233,0.584,-0.168,2.112,5.42,-0.0,-0.0172,-0.0001,0.9999
0.11,0.001,0.014,0.035,0.009,0.254,0.638,-0.253,2.127,5.441,-0.0,-0.0203,-0.0001,0.9998
0.12,0.001,0.017,0.041,0.005,0.275,0.693,-0.347,2.146,5.461,-0.0,-0.0237,-0.0002,0.9997
0.13,0.001,0.019,0.048,0.001,0.297,0.748,-0.449,2.169,5.48,-0.0,-0.0274,-0.0002,0.9996
0.14,0.001,0.022,0.056,-0.005,0.319,0.803,-0.558,2.197,5.498,-0.0,-0.0313,-0.0003,0.9995
0.15,0.001,0.025,0.064,-0.011,0.341,0.858,-0.676,2.229,5.515,-0.0,-0.0355,-0.0003,0.9994
